full_name,birth_date,adm4,start,end,source
Francisco Javier Cuenca García,1974-07-01,es_alb_albacete,2015-06-13,2017-06-29,https://es.wikipedia.org/wiki/Javier_Cuenca
Manuel Ramón Serrano López,1976-05-30,es_alb_albacete,2017-07-05,2019-06-15,https://es.wikipedia.org/wiki/Manuel_Serrano_L%C3%B3pez
Vicente Casañ López,1985-01-01,es_alb_albacete,2019-06-15,2021-06-07,https://es.wikipedia.org/wiki/Vicente_Casa%C3%B1
Emilio Sáez Cruz,1969-08-06,es_alb_albacete,2021-06-07,2999-12-31,https://es.wikipedia.org/wiki/Emilio_S%C3%A1ez_Cruz
José Luis Lassaletta Cano,1933-01-01,es_ali_alicantealacant,1979-05-15,1991-07-04,https://es.wikipedia.org/wiki/Jos%C3%A9_Luis_Lassaletta
Ángel Luna González,1952-01-01,es_ali_alicantealacant,1991-06-15,1995-06-23,https://es.wikipedia.org/wiki/%C3%81ngel_Luna
Luis Bernardo Díaz Alperi,1945-06-23,es_ali_alicantealacant,1995-06-23,2008-09-17,https://es.wikipedia.org/wiki/Luis_D%C3%ADaz_Alperi
Sonia Castedo Ramos,1970-12-23,es_ali_alicantealacant,2008-09-11,2014-12-26,https://es.wikipedia.org/wiki/Sonia_Castedo
Miguel Valor Peidró,1945-01-02,es_ali_alicantealacant,2015-01-15,2015-06-13,https://es.wikipedia.org/wiki/Miguel_Valor_Peidr%C3%B3
Gabriel Echávarri Fernández,1970-12-29,es_ali_alicantealacant,2015-06-13,2018-04-09,https://es.wikipedia.org/wiki/Gabriel_Ech%C3%A1varri
Luis José Barcala Sierra,1962-03-19,es_ali_alicantealacant,2018-04-19,2999-12-31,https://es.wikipedia.org/wiki/Luis_Barcala
Rafael Monterreal Alemán,1929-01-01,es_alm_almeria,1976-01-01,1979-01-01,https://www.dipalme.org/Servicios/IEA/edba.nsf/xlecturabiografias.xsp?ref=346
Santiago Martínez Cabrejas,1948-02-25,es_alm_almeria,1979-04-19,1991-06-15,https://es.wikipedia.org/wiki/Santiago_Mart%C3%ADnez_Cabrejas
Fernando Martínez López,1949-01-23,es_alm_almeria,1991-06-15,1995-06-17,https://es.wikipedia.org/wiki/Fernando_Mart%C3%ADnez_L%C3%B3pez
Juan Francisco Megino López,1944-11-12,es_alm_almeria,1995-06-17,1999-07-04,https://www.diariodesevilla.es/encuentrosdigitales/Juan-Megino-Almeria-Corte-Ingles_0_193780624.html
Santiago Martínez Cabrejas,1948-02-25,es_alm_almeria,1999-07-04,2003-06-14,https://es.wikipedia.org/wiki/Santiago_Mart%C3%ADnez_Cabrejas
Luis Rogelio Rodríguez-Comendador Pérez,1959-02-19,es_alm_almeria,2003-06-14,2015-11-28,https://es.wikipedia.org/wiki/Luis_Rogelio_Rodr%C3%ADguez-Comendador
Ramón Fernández-Pacheco Monterreal,1983-09-17,es_alm_almeria,2015-11-28,2999-12-31,https://es.wikipedia.org/wiki/Ram%C3%B3n_Fern%C3%A1ndez-Pacheco_Monterreal
Eloína Suárez Suárez,,es_ast_oviedo,1978-06-30,1979-04-19,
Luis Riera Posada,1923-04-11,es_ast_oviedo,1979-04-19,1983-05-23,https://ast.wikipedia.org/wiki/Luis_Riera_Posada
Antonio Alejandro Masip Hidalgo,1946-05-03,es_ast_oviedo,1983-05-23,1991-06-15,https://ast.wikipedia.org/wiki/Antonio_Masip
Gabino de Lorenzo Ferrera,1943-02-14,es_ast_oviedo,2012-01-09,2018-03-22,https://es.wikipedia.org/wiki/Gabino_de_Lorenzo
Agustín Iglesias Caunedo,1971-02-10,es_ast_oviedo,2012-01-10,2015-06-13,https://es.wikipedia.org/wiki/Agust%C3%ADn_Iglesias_Caunedo
Francisco Wenceslao López Martínez,1947-10-29,es_ast_oviedo,2015-06-13,2019-06-15,https://es.wikipedia.org/wiki/Wenceslao_L%C3%B3pez_Mart%C3%ADnez
Alfredo Canteli Fernández,1946-08-12,es_ast_oviedo,2019-06-15,2999-12-31,https://es.wikipedia.org/wiki/Alfredo_Canteli
Pedro García Burguillo,1934-03-02,es_avi_avila,1979-04-19,1983-05-23,
José Luis Pujades Martín,,es_avi_avila,1983-05-23,1983-11-06,
Isidoro Heras Díaz,,es_avi_avila,1983-11-06,1984-02-05,
Mario Galán Sáez,1941-01-01,es_avi_avila,1984-02-05,1987-06-30,https://es.wikipedia.org/wiki/Mario_Gal%C3%A1n_S%C3%A1ez
Antonio Encinar Núñez,,es_avi_avila,1987-06-30,1991-07-06,
Ángel Jesús Acebes Paniagua,1958-07-03,es_avi_avila,1991-07-06,1995-06-16,https://es.wikipedia.org/wiki/%C3%81ngel_Acebes
María Dolores Ruiz-Ayúcar Zurdo,1945-01-01,es_avi_avila,1995-06-16,1999-07-04,https://es.wikipedia.org/wiki/Dolores_Ruiz-Ay%C3%BAcar
Agustín Díaz de Mera García Consuegra,1947-09-27,es_avi_avila,1999-07-04,2002-07-31,https://es.wikipedia.org/wiki/Agust%C3%ADn_D%C3%ADaz_de_Mera
Miguel Ángel García Nieto,1958-09-29,es_avi_avila,2002-07-31,2015-06-13,https://es.wikipedia.org/wiki/Miguel_%C3%81ngel_Garc%C3%ADa_Nieto
José Luis Rivas Hernández,1950-01-01,es_avi_avila,2015-06-13,2019-06-15,https://es.wikipedia.org/wiki/Jos%C3%A9_Luis_Rivas_Hern%C3%A1ndez
Jesús Manuel Sánchez Cabrera,1982-08-01,es_avi_avila,2019-06-15,2999-12-31,https://es.wikipedia.org/wiki/Jes%C3%BAs_Manuel_S%C3%A1nchez_Cabrera
Luis Movilla Montero,1932-02-07,es_bad_badajoz,1977-01-01,1983-05-23,https://www.dip-badajoz.es/cultura/archivo/historico_diputados/consulta_ficha.php?id=759
Manuel Rojas Torres,1945-01-01,es_bad_badajoz,1983-05-23,1991-12-27,https://es.wikipedia.org/wiki/Manuel_Rojas_Torres
Gabriel Montesinos Gómez,1945-01-01,es_bad_badajoz,1991-12-27,1995-06-17,https://es.wikipedia.org/wiki/Manuel_Rojas_Torres
Miguel Ángel Celdrán Matute,1940-03-04,es_bad_badajoz,1995-06-17,2013-03-04,https://es.wikipedia.org/wiki/Miguel_Celdr%C3%A1n
Francisco Javier Fragoso Martínez,1971-09-08,es_bad_badajoz,2013-03-15,2021-06-15,https://es.wikipedia.org/wiki/Francisco_Javier_Fragoso
Ignacio Gragera Barrera,1982-09-06,es_bad_badajoz,2021-06-26,2999-12-31,https://es.wikipedia.org/wiki/Ignacio_Gragera_Barrera
José María Socías Humbert,1937-08-22,es_bar_barcelona,1976-12-06,1979-01-02,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Soc%C3%ADas
Manuel Font-Altaba,1922-01-01,es_bar_barcelona,1979-01-02,1979-04-19,https://es.wikipedia.org/wiki/Manuel_Font-Altaba
Narcís Serra Serra,1943-05-30,es_bar_barcelona,1979-04-19,1982-12-02,https://es.wikipedia.org/wiki/Narc%C3%ADs_Serra
Pasqual Maragall Mira,1941-01-13,es_bar_barcelona,1982-12-02,1997-09-26,https://es.wikipedia.org/wiki/Pasqual_Maragall
Joan Clos Matheu,1949-06-29,es_bar_barcelona,1997-09-26,2006-09-08,https://es.wikipedia.org/wiki/Joan_Clos
Jordi Hereu Boher,1965-06-14,es_bar_barcelona,2006-09-08,2011-06-11,https://es.wikipedia.org/wiki/Jordi_Hereu
Xavier Trias Vidal de Llobatera,1946-08-05,es_bar_barcelona,2011-06-11,2015-06-13,https://es.wikipedia.org/wiki/Xavier_Trias
Ada Colau Ballano,1974-03-03,es_bar_barcelona,2015-06-13,2999-12-31,https://es.wikipedia.org/wiki/Ada_Colau
José Muñoz Ávila,1923-08-22,es_bur_burgos,1973-07-28,1979-07-10,https://es.wikipedia.org/wiki/Jos%C3%A9_Mu%C3%B1oz_%C3%81vila
José María Peña San Martín,1937-01-01,es_bur_burgos,1979-07-10,1992-06-03,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Pe%C3%B1a_San_Mart%C3%ADn
Valentín Niño Aragón,1935-10-11,es_bur_burgos,1992-06-17,1999-07-03,https://es.wikipedia.org/wiki/Valent%C3%ADn_Ni%C3%B1o_Arag%C3%B3n
Ángel Olivares Ramírez,1955-02-08,es_bur_burgos,1999-07-03,2003-06-14,https://es.wikipedia.org/wiki/%C3%81ngel_Olivares
Juan Carlos Aparicio Pérez,1955-04-20,es_bur_burgos,2003-06-14,2011-06-11,https://es.wikipedia.org/wiki/Juan_Carlos_Aparicio
Francisco Javier Lacalle Lacalle,1969-08-10,es_bur_burgos,2011-06-11,2015-06-15,https://es.wikipedia.org/wiki/Javier_Lacalle
Daniel de la Rosa Villahoz,1980-09-10,es_bur_burgos,2015-06-15,2999-12-31,https://es.wikipedia.org/wiki/Daniel_de_la_Rosa
Luis González Cascos,1926-11-15,es_cac_caceres,1979-04-19,1980-07-01,https://www.hoy.es/caceres/201604/07/fallece-luis-gonzalez-cascos-20160407190205.html
Manuel Domínguez Lucero,1946-12-18,es_cac_caceres,1980-07-01,1983-05-23,https://www.hoy.es/20130711/local/caceres/muerto-manuel-dominguez-lucero-201307111458.html
Juan Iglesias Marcelo,1931-03-01,es_cac_caceres,1983-05-23,1987-06-30,https://es.wikipedia.org/wiki/Juan_Iglesias_Marcelo
Carlos Sánchez Polo,1944-05-04,es_cac_caceres,1987-06-30,1995-06-23,https://es.wikipedia.org/wiki/Carlos_S%C3%A1nchez_Polo
José María Saponi Mendo,1938-06-19,es_cac_caceres,1995-06-23,2007-06-16,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Saponi
Carmen Heras Pablo,1948-11-18,es_cac_caceres,2007-06-16,2011-06-11,https://es.wikipedia.org/wiki/Carmen_Heras
María Elena Nevado del Campo,1967-01-26,es_cac_caceres,2011-06-11,2019-06-15,https://es.wikipedia.org/wiki/Elena_Nevado_del_Campo
Luis Salaya Julián,1988-06-23,es_cac_caceres,2019-06-15,2999-12-31,https://es.wikipedia.org/wiki/Luis_Salaya_Juli%C3%A1n
Carlos Díaz Medina,1935-09-03,es_cad_cadiz,1979-04-19,1995-06-18,https://es.wikipedia.org/wiki/Carlos_D%C3%ADaz_Medina
María Teófila Martínez Saiz,1948-01-05,es_cad_cadiz,1995-06-18,2015-06-13,https://es.wikipedia.org/wiki/Te%C3%B3fila_Mart%C3%ADnez
José María González Santos,1975-09-22,es_cad_cadiz,2015-06-13,2999-12-31,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Gonz%C3%A1lez_Santos
Juan Hormaechea Cazón,1939-06-05,es_can_santander,1977-06-15,1987-06-24,https://es.wikipedia.org/wiki/Juan_Hormaechea
Manuel Huerta Castillo,1947-03-12,es_can_santander,1987-06-24,1995-06-23,https://es.wikipedia.org/wiki/Manuel_Huerta
Gonzalo Javier Piñeiro García-Lago,1954-06-26,es_can_santander,1995-06-23,2007-06-16,https://es.wikipedia.org/wiki/Gonzalo_Pi%C3%B1eiro
Íñigo de la Serna Hernaiz,1971-01-10,es_can_santander,2007-06-16,2016-11-04,https://es.wikipedia.org/wiki/%C3%8D%C3%B1igo_de_la_Serna
Gema Igual Ortiz,1973-09-10,es_can_santander,2016-11-17,2999-12-31,https://es.wikipedia.org/wiki/Gema_Igual
Antonio José Tirado Jiménez,,es_cas_castellondelaplanacastell,1979-04-19,1987-06-30,
Daniel Gozalbo Bellés,1948-05-24,es_cas_castellondelaplanacastell,1987-06-30,1991-05-25,https://ca.wikipedia.org/wiki/Daniel_Gozalbo_Bell%C3%A9s
José Luis Gimeno Ferrer,1942-02-20,es_cas_castellondelaplanacastell,1991-06-15,2005-01-29,https://es.wikipedia.org/wiki/Jos%C3%A9_Luis_Gimeno
Alberto Fabra Part,1964-04-06,es_cas_castellondelaplanacastell,2005-01-29,2011-07-27,https://es.wikipedia.org/wiki/Alberto_Fabra
Juan Alfonso Bataller Vicent,1960-03-06,es_cas_castellondelaplanacastell,2011-07-30,2015-06-13,https://es.wikipedia.org/wiki/Alfonso_Bataller
Amparo Marco Gual,1968-02-08,es_cas_castellondelaplanacastell,2015-06-13,2999-12-31,https://es.wikipedia.org/wiki/Amparo_Marco
Lorenzo Selas Céspedes,1938-01-12,es_ciu_ciudadreal,1979-04-15,1993-06-23,https://es.wikipedia.org/wiki/Lorenzo_Selas_C%C3%A9spedes
Nicolás Clavero Romero,1950-03-22,es_ciu_ciudadreal,1993-06-23,1995-06-23,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Clavero
Francisco Gil-Ortega Rincón,1950-04-25,es_ciu_ciudadreal,1995-06-23,2007-06-16,http://ciudadreal.es/documentos/RevistaCR/Revista_Ciudad_Real_1.pdf
Rosa Romero Sánchez,1970-02-14,es_ciu_ciudadreal,2007-06-16,2015-06-13,https://es.wikipedia.org/wiki/Rosa_Romero_S%C3%A1nchez
María del Pilar Zamora Bastante,1971-01-01,es_ciu_ciudadreal,2015-06-13,2021-06-18,https://es.wikipedia.org/wiki/Pilar_Zamora
Eva María Masías,1974-05-25,es_ciu_ciudadreal,2021-06-18,2999-12-31,https://www.ciudadreal.es/ayuntamiento/corporacion-municipal.html
Antonio Alarcón Constant,1923-11-23,es_cor_cordoba,1971-04-04,1979-04-19,https://es.wikipedia.org/wiki/Antonio_Alarc%C3%B3n_Constant
Julio Anguita González,1941-11-21,es_cor_cordoba,1979-04-19,1986-02-01,https://es.wikipedia.org/wiki/Julio_Anguita
Herminio Trigo Aguilar,1943-02-12,es_cor_cordoba,1986-02-01,1995-01-26,https://es.wikipedia.org/wiki/Herminio_Trigo
Manuel Pérez Pérez,1951-02-03,es_cor_cordoba,1995-02-02,1995-07-07,https://es.wikipedia.org/wiki/Manuel_P%C3%A9rez_P%C3%A9rez
Rafael Merino López,1959-01-08,es_cor_cordoba,1995-07-07,1999-06-11,https://es.wikipedia.org/wiki/Rafael_Merino
Rosa Aguilar Rivero,1957-07-07,es_cor_cordoba,1999-07-04,2009-04-23,https://es.wikipedia.org/wiki/Rosa_Aguilar
Andrés Ocaña Rabadán,1954-04-26,es_cor_cordoba,2009-05-08,2011-06-11,https://es.wikipedia.org/wiki/Andr%C3%A9s_Oca%C3%B1a
José Antonio Nieto Ballesteros,1970-04-10,es_cor_cordoba,2011-06-11,2015-06-13,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Nieto
María Isabel Ambrosio Palos,1970-07-18,es_cor_cordoba,2015-06-13,2019-06-15,https://es.wikipedia.org/wiki/Isabel_Ambrosio
José María Bellido Roche,1977-09-15,es_cor_cordoba,2019-06-15,2999-12-31,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Bellido_(pol%C3%ADtico)
José Manuel Liaño Flores,1921-11-15,es_aco_corunaa,1976-02-01,1978-12-30,https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Lia%C3%B1o_Flores
Berta Tapia Dafonte,1927-02-01,es_aco_corunaa,1978-12-30,1979-04-03,https://gl.wikipedia.org/wiki/Berta_Tapia
Domingos Rafael Merino Mexuto,1939-06-21,es_aco_corunaa,1979-04-19,1981-03-25,https://es.wikipedia.org/wiki/Domingos_Merino
Joaquín López Menéndez,1939-07-22,es_aco_corunaa,1981-04-01,1983-05-23,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_L%C3%B3pez_Men%C3%A9ndez
Francisco José Vázquez Vázquez,1946-04-09,es_aco_corunaa,1983-05-23,2006-03-24,https://es.wikipedia.org/wiki/Francisco_V%C3%A1zquez_V%C3%A1zquez
Francisco Javier Losada de Azpiazu,1955-07-16,es_aco_corunaa,2006-03-24,2011-06-11,https://es.wikipedia.org/wiki/Javier_Losada
Carlos Negreira Souto,1960-07-16,es_aco_corunaa,2011-06-11,2015-06-13,https://es.wikipedia.org/wiki/Carlos_Negreira_Souto
Xulio Xosé Ferreiro Baamonde,1974-10-18,es_aco_corunaa,2015-06-13,2019-06-15,https://es.wikipedia.org/wiki/Xulio_Ferreiro
Inés Rey García,1982-07-11,es_aco_corunaa,2019-06-15,2999-12-31,https://es.wikipedia.org/wiki/In%C3%A9s_Rey
Andrés Moya López,1933-02-13,es_cue_cuenca,1979-04-19,1983-05-23,https://es.wikipedia.org/wiki/Andr%C3%A9s_Moya_L%C3%B3pez
José Ignacio Navarrete de Varela,,es_cue_cuenca,1983-05-23,1987-06-30,
Andrés Moya López,1933-02-13,es_cue_cuenca,1987-06-30,1991-07-15,https://es.wikipedia.org/wiki/Andr%C3%A9s_Moya_L%C3%B3pez
José Manuel Martínez Cenzano,1944-03-01,es_cue_cuenca,1991-07-15,1995-06-23,https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Mart%C3%ADnez_Cenzano
Manuel Ferreros Lorenzo,,es_cue_cuenca,1995-06-23,1999-07-03,
José Manuel Martínez Cenzano,1944-03-01,es_cue_cuenca,1999-07-03,2007-06-16,https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Mart%C3%ADnez_Cenzano
Francisco Javier Pulido Morillo,1964-01-01,es_cue_cuenca,2007-06-16,2011-06-11,http://cuenca-virtual.com/ayuntamiento/francisco-javier-pulido-morillo-alcalde-de-cuenca-2007/gmx-niv66-con2104.htm
Juan Manuel Ávila Francés,1967-05-24,es_cue_cuenca,2011-06-11,2015-06-13,https://es.wikipedia.org/wiki/Juan_%C3%81vila
Ángel Luis Mariscal Estrada,1962-10-28,es_cue_cuenca,2015-06-13,2019-06-15,https://es.wikipedia.org/wiki/%C3%81ngel_Mariscal_Estrada
Darío Francisco Dolz Fernández,1967-01-01,es_cue_cuenca,2019-06-15,2999-12-31,https://es.wikipedia.org/wiki/Dar%C3%ADo_Dolz
Josep Bonet Cufí,1913-11-08,es_gir_girona,1967-02-05,1972-03-03,https://ca.wikipedia.org/wiki/Josep_Bonet_i_Cuf%C3%AD
Ignasi de Ribot de Balle,1926-05-11,es_gir_girona,1972-03-03,1979-04-19,https://ca.wikipedia.org/wiki/Ignasi_de_Ribot_i_de_Balle
Joaquim Nadal Farreras,1948-01-31,es_gir_girona,1979-04-19,2002-01-02,https://es.wikipedia.org/wiki/Joaquim_Nadal
Anna Pagans Gruartmoner,1952-05-10,es_gir_girona,2002-01-19,2011-06-11,https://ca.wikipedia.org/wiki/Anna_Pagans_i_Gruartmoner
Carles Puigdemont Casamajó,1962-12-29,es_gir_girona,2011-07-01,2016-01-11,https://es.wikipedia.org/wiki/Carles_Puigdemont
Albert Ballesta Tura,1961-05-04,es_gir_girona,2016-01-25,2016-03-08,https://ca.wikipedia.org/wiki/Albert_Ballesta_i_Tura
Marta Madrenas Mir,1967-11-01,es_gir_girona,2016-03-18,2999-12-31,https://es.wikipedia.org/wiki/Marta_Madrenas
Antonio Camacho García,1926-09-26,es_gra_granada,1979-04-15,1979-11-15,https://es.wikipedia.org/wiki/Antonio_Camacho_Garc%C3%ADa
Juan Tapia Sánchez,1914-05-22,es_gra_granada,1979-11-15,1979-11-15,https://es.wikipedia.org/wiki/Juan_Tapia_S%C3%A1nchez
Antonio Jara Andréu,1946-04-12,es_gra_granada,1979-11-15,1991-06-17,https://es.wikipedia.org/wiki/Antonio_Jara_Andr%C3%A9u
Jesús Quero Molina,1955-07-14,es_gra_granada,1991-06-17,1995-06-23,https://es.wikipedia.org/wiki/Jes%C3%BAs_Quero_Molina
José Gabriel Díaz Berbel,1940-03-19,es_gra_granada,1995-06-23,1999-07-04,https://es.wikipedia.org/wiki/Gabriel_D%C3%ADaz_Berbel
José Enrique Moratalla Molina,1949-02-01,es_gra_granada,1999-07-04,2003-06-14,https://es.wikipedia.org/wiki/Jos%C3%A9_Enrique_Moratalla
José Torres Hurtado,1946-10-15,es_gra_granada,2003-06-14,2016-04-18,https://es.wikipedia.org/wiki/Jos%C3%A9_Torres_Hurtado
Francisco Cuenca Rodríguez,1969-08-12,es_gra_granada,2016-05-05,2019-06-15,https://es.wikipedia.org/wiki/Francisco_Cuenca
Luis Miguel Salvador García,1963-04-17,es_gra_granada,2019-06-15,2021-07-01,https://es.wikipedia.org/wiki/Luis_Salvador
Francisco Cuenca Rodríguez,1969-08-12,es_gra_granada,2021-07-07,2999-12-31,https://es.wikipedia.org/wiki/Francisco_Cuenca
Francisco Javier de Irízar Ortega,1949-03-13,es_gua_guadalajara,1979-04-19,1991-06-15,https://es.wikipedia.org/wiki/Javier_de_Ir%C3%ADzar
Blanca Calvo Alonso-Cortés,1948-08-26,es_gua_guadalajara,1991-06-15,1992-07-16,https://es.wikipedia.org/wiki/Blanca_Calvo_Alonso-Cort%C3%A9s
Fernando Revuelta Somalo,,es_gua_guadalajara,1992-07-16,1992-07-20,
José María Bris Gallego,1937-03-07,es_gua_guadalajara,1992-07-20,2003-06-14,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Bris_Gallego
Jesús Alique López,1962-01-01,es_gua_guadalajara,2003-06-14,2007-06-16,https://es.wikipedia.org/wiki/Jes%C3%BAs_Alique
Antonio Román Jasanada,1965-06-21,es_gua_guadalajara,2007-06-16,2019-06-15,https://es.wikipedia.org/wiki/Antonio_Rom%C3%A1n_Jasanada
Alberto Rojo Blas,1975-01-27,es_gua_guadalajara,2019-06-15,2999-12-31,https://es.wikipedia.org/wiki/Alberto_Rojo_Blas
Felipe de Ugarte Lambert de Sainte Croix,1916-04-02,es_gip_donostiasansebastian,1969-06-16,1974-02-08,https://es.wikipedia.org/wiki/Felipe_de_Ugarte
Francisco Lasa Echarri,1921-06-04,es_gip_donostiasansebastian,1974-03-22,1977-03-18,https://es.wikipedia.org/wiki/Francisco_Lasa
Fernando de Otazu Zulueta,1920-08-13,es_gip_donostiasansebastian,1977-03-18,1978-09-24,https://es.wikipedia.org/wiki/Fernando_de_Otazu
Ramón Jáuregui Atondo,1948-09-01,es_gip_donostiasansebastian,1978-09-24,1979-02-01,https://es.wikipedia.org/wiki/Ram%C3%B3n_J%C3%A1uregui
Ignacio Alquiza Lasquíbar,1933-07-31,es_gip_donostiasansebastian,1979-02-01,1979-03-01,https://es.wikipedia.org/wiki/I%C3%B1aki_Alkiza
Jesús María Alkain Martikorena,1922-01-27,es_gip_donostiasansebastian,1979-06-20,1983-05-20,https://es.wikipedia.org/wiki/Jes%C3%BAs_Mar%C3%ADa_Alkain
Ramón María Labayen Sansinenea,1928-08-31,es_gip_donostiasansebastian,1983-06-20,1987-05-20,https://es.wikipedia.org/wiki/Ram%C3%B3n_Labayen
Francisco Xabier Albistur Marin,1944-01-04,es_gip_donostiasansebastian,1987-06-20,1991-05-20,https://es.wikipedia.org/wiki/Xabier_Albistur
Odón Elorza González,1955-04-04,es_gip_donostiasansebastian,1991-06-20,2011-06-11,https://es.wikipedia.org/wiki/Od%C3%B3n_Elorza
Juan Carlos Izagirre Hortelano,1963-06-01,es_gip_donostiasansebastian,2011-06-11,2015-06-13,https://es.wikipedia.org/wiki/Juan_Carlos_Izagirre
Eneko Goia Laso,1971-10-30,es_gip_donostiasansebastian,2015-06-13,2999-12-31,https://es.wikipedia.org/wiki/Eneko_Goia
Carmelo Romero Núñez,1930-06-12,es_hue_huelva,1974-09-21,1979-04-20,https://huelvabuenasnoticias.com/2017/01/29/carmelo-romero-nunez-entre-dos-aguas-politicas-1974-1979/
José Antonio Marín Rite,1941-06-29,es_hue_huelva,1979-04-20,1988-10-05,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Mar%C3%ADn_Rite
Juan Ceada Infantes,1941-01-01,es_hue_huelva,1988-10-05,1995-06-17,https://es.wikipedia.org/wiki/Juan_Ceada_Infantes
Pedro Rodríguez González,1944-06-22,es_hue_huelva,1995-06-23,2015-06-13,https://es.wikipedia.org/wiki/Pedro_Rodr%C3%ADguez_Gonz%C3%A1lez
Gabriel Cruz Santana,1964-01-05,es_hue_huelva,2015-06-13,2999-12-31,https://es.wikipedia.org/wiki/Gabriel_Cruz_Santana
José Antonio Llanas Almudévar,1920-12-16,es_hus_huesca,1979-04-19,1983-05-23,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Llanas_Almud%C3%A9var
Enrique Sánchez Carrasco,1928-03-28,es_hus_huesca,1983-05-23,1995-06-17,https://es.wikipedia.org/wiki/Enrique_S%C3%A1nchez_Carrasco
Luis Acín Boned,1948-11-29,es_hus_huesca,1995-06-17,1997-12-02,https://es.wikipedia.org/wiki/Luis_Ac%C3%ADn_Boned
José Luis Rubió Gracia,1942-01-01,es_hus_huesca,1997-12-02,1999-07-03,https://www.heraldo.es/noticias/aragon/huesca/2017/11/18/huesca-dedica-una-centrica-plaza-memoria-del-exalcalde-del-jose-luis-rubio-1208826-2261127.html
Fernando Elboj Broto,1946-07-14,es_hus_huesca,1999-07-03,2010-07-03,https://es.wikipedia.org/wiki/Fernando_Elboj_Broto
Luis Felipe Serrate,1962-04-05,es_hus_huesca,2010-07-03,2011-06-11,https://es.wikipedia.org/wiki/Luis_Felipe_Serrate
Ana Isabel Alós López,1969-05-11,es_hus_huesca,2011-06-11,2015-06-13,https://es.wikipedia.org/wiki/Ana_Al%C3%B3s
Luis Felipe Serrate,1962-04-05,es_hus_huesca,2015-06-13,2999-12-31,https://es.wikipedia.org/wiki/Luis_Felipe_Serrate
Rafael de la Rosa Vázquez,1919-02-10,es_iba_palmademallorca,1972-06-16,1976-06-16,https://es.wikipedia.org/wiki/Rafael_de_la_Rosa
Paulino Buchens Adrover,1944-08-18,es_iba_palmademallorca,1976-05-09,1979-06-16,https://es.wikipedia.org/wiki/Paulino_Buchens
